159935.395 2606510.484 -0.154
159939.391 2606510.707 -0.182
159944.23 2606510.614 -0.211
159969.359 2606510.607 0.147
159980.646 2606510.652 0.283
160002.652 2606510.656 0.552
160011.093 2606510.303 0.688
160019.501 2606509.976 0.761
160038.351 2606510.89 1.101
160056.214 2606510.955 1.444
160062.023 2606509.914 1.545
160093.939 2606510.852 2.144
160127.223 2606510.347 2.641
160142.814 2606510.559 2.531
160166.471 2606510.694 2.542
160192.485 2606510.367 1.642
160199.499 2606510.523 1.226
160203.835 2606511.015 1.15
160218.546 2606510.91 0.982
160220.951 2606509.739 0.944
160238.913 2606510.839 0.81
160246.997 2606510.362 0.754
160252.602 2606510.222 0.819
160270.177 2606510.26 0.508
160303.103 2606510.064 -0.017
162043.978 2606510.329 0.148
162048.749 2606509.953 1.444
162066.977 2606510.235 2.37
162079.088 2606510.447 2.385
162088.872 2606509.718 2.493
162122.493 2606510.923 2.406
162128.255 2606510.843 2.395
162132.311 2606510.69 2.404
162139.032 2606510.144 2.395
162145.353 2606510.378 0.338
162150.822 2606509.822 0.314
162223.022 2606510.733 0.41
162227.099 2606510.781 -0.041
162245.304 2606510.554 -0.286
162247.016 2606510.353 -0.239
159934.455 2606506.382 -0.139
159936.401 2606507.908 -0.174
159942.698 2606507.536 -0.208
159948.668 2606506.982 -0.164
159951.705 2606505.855 -0.076
159957.64 2606504.608 0.005
159961.332 2606506.318 0.075
159965.68 2606508.956 0.142
159973.352 2606507.682 0.186
159979.991 2606507.385 0.231
159982.643 2606504.638 0.278
159987.876 2606506.918 0.337
159992.407 2606507.298 0.411
159996.776 2606506.792 0.476
160003.355 2606508.008 0.555
160008.121 2606508.498 0.615
160011.596 2606508.03 0.695
160016.973 2606506.77 0.764
160021.626 2606505.579 0.861
160027.489 2606507.806 0.923
160031.574 2606507.348 1
160037.861 2606509.137 1.094
160041.465 2606509.163 1.161
160047.716 2606505.381 1.261
160052.801 2606507.281 1.385
160056.581 2606505.231 1.504
160062.941 2606506.867 1.638
160065.681 2606505.785 1.769
160072.934 2606507.086 1.862
160079.045 2606505.001 1.817
160082.355 2606506.126 1.737
160088.903 2606507.099 1.725
160093.188 2606505.518 1.915
160096.764 2606507.535 1.805
160101.841 2606505.23 1.921
160108.465 2606509.038 2.157
160114.154 2606505.576 2.445
160116.497 2606505.023 2.444
160123.664 2606505.658 2.346
160128.046 2606508.225 2.73
160131.303 2606505.815 2.786
160137.567 2606505.78 2.579
160141.159 2606505.876 2.462
160149.856 2606508.382 2.69
160154.546 2606507.518 2.843
160158.438 2606509.115 2.533
160162.973 2606507.542 2.092
160166.305 2606506.614 2.228
160174.707 2606505.69 2.123
160175.97 2606508.846 2.117
160181.925 2606508.731 2.305
160189.327 2606506.566 2.286
160193.379 2606504.907 1.714
160196.78 2606509.313 1.234
160202.107 2606505.899 1.136
160208.28 2606508.556 1.073
160214.973 2606504.884 1.004
160216.059 2606507.501 0.959
160224.781 2606506.22 0.92
160226.121 2606505.692 0.86
160230.665 2606508.339 0.831
160240.151 2606504.607 0.785
160240.484 2606508.564 0.754
160249.971 2606504.831 0.728
160250.555 2606504.963 0.76
160256.337 2606505.619 0.63
160265.146 2606507.924 0.511
160267.027 2606505.713 0.5
160270.675 2606507.713 0.445
160276.469 2606509.334 0.391
160281.3 2606506.492 0.31
160287.735 2606505.92 0.205
160294.787 2606508.568 0.1
160297.454 2606505.478 0.017
160304.27 2606504.93 -0.032
160307.148 2606508.477 -0.064
162045.257 2606505.117 0.033
162048.646 2606506.525 1.447
162051.818 2606508.386 2.375
162057.438 2606506.938 2.353
162061.759 2606507.191 2.346
162068.737 2606505.972 2.336
162072.028 2606507.834 2.339
162078.479 2606505.231 2.373
162082.627 2606507.583 2.421
162087.667 2606505.387 2.484
162091.664 2606508.63 2.513
162096.066 2606506.577 2.549
162104.319 2606507.55 2.579
162106.946 2606507.285 2.604
162110.798 2606507.73 2.618
162117.659 2606504.75 2.606
162124.792 2606504.548 2.613
162129.638 2606507.893 2.438
162131.093 2606506.776 2.425
162136.971 2606508.685 2.411
162141.269 2606507.501 2.408
162148.535 2606506.733 2.392
162153.089 2606506.727 2.406
162156.463 2606506.116 2.384
162162.08 2606504.472 2.408
162166.48 2606505.045 2.36
162171.722 2606504.553 2.428
162178.465 2606504.951 2.038
162181.598 2606504.604 1.988
162204.805 2606504.746 2.351
162206.526 2606508.708 2.382
162212.086 2606509.146 2.426
162217.488 2606507.674 2.747
162223.215 2606504.864 0.342
162229.328 2606505.22 -0.002
162231.259 2606507.535 -0.192
162235.572 2606507.746 -0.321
162240.871 2606508.638 -0.333
159928.932 2606499.699 -0.097
159934.979 2606503.927 -0.149
159938.321 2606501.918 -0.207
159942.138 2606502.695 -0.2
159945.539 2606503.083 -0.145
159953.7 2606501.395 -0.063
159958.584 2606503.144 -0.007
159963.112 2606502.587 0.089
159969.97 2606503.449 0.153
159971.065 2606502.378 0.193
159978.784 2606501.62 0.226
159984.72 2606504.207 0.288
159987.582 2606500.883 0.351
159995.271 2606503.491 0.417
159995.652 2606500.454 0.484
160001.488 2606500.14 0.555
160007.053 2606500.232 0.62
160014.852 2606500.497 0.691
160017.838 2606500.835 0.777
160024.007 2606503.67 0.846
160029.943 2606499.889 0.921
160030.493 2606503.382 0.994
160037.817 2606501.074 1.086
160042.286 2606501.58 1.174
160047.269 2606501.285 1.279
160052.289 2606500.583 1.419
160058.379 2606503.821 1.549
160063.032 2606502.636 1.708
